,Term,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,cluster
65,granulocyte chemotaxis (GO:0071621),0.000292862,0.022991922,0,0,12.53132832,101.9524929,CCL5;CCL4;CCL3;CCL17,0
66,I-kappaB kinase/NF-kappaB signaling (GO:0007249),0.000313207,0.024216591,0,0,12.31527094,99.36756707,NFKBIA;UBC;TNF;TLR2,0
67,cellular respiration (GO:0045333),0.000313207,0.023855149,0,0,12.31527094,99.36756707,MT-ND4;MT-CO1;MT-CO3;MT-ND1,0
68,positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),0.000324132,0.024324195,0,0,6.533101045,52.48928513,BST2;CD74;UBC;TNF;MALT1;TLR2,0
69,neutrophil migration (GO:1990266),0.000334545,0.024741813,0,0,12.10653753,96.88544826,CCL5;CCL4;CCL3;CCL17,0
70,eosinophil migration (GO:0072677),0.000359402,0.026200397,0,0,21.42857143,169.9514864,CCL5;CCL4;CCL3,0
71,response to glucocorticoid (GO:0051384),0.000359402,0.025831377,0,0,21.42857143,169.9514864,ZFP36;TNF;ZFP36L1,0
72,eosinophil chemotaxis (GO:0048245),0.000359402,0.025472608,0,0,21.42857143,169.9514864,CCL5;CCL4;CCL3,0
73,negative regulation of cytokine production (GO:0001818),0.00040256,0.02814059,0,0,8.043758044,62.88341933,GPNMB;AXL;UBC;TNFAIP3;TNF,0
74,cellular response to epidermal growth factor stimulus (GO:0071364),0.000404628,0.02790296,0,0,20.6043956,160.9726912,ZFP36;IQGAP1;ZFP36L1,0
75,regulation of tumor necrosis factor production (GO:0032680),0.000404801,0.027542663,0,0,11.52073733,90.00132326,ZFP36;CCL3;TNFAIP3;TLR2,0
76,stress-activated MAPK cascade (GO:0051403),0.000430393,0.028898653,0,0,11.33786848,87.87767402,ZFP36;UBC;TRIB1;ZFP36L1,0
77,positive regulation of hydrolase activity (GO:0051345),0.000430943,0.028559739,0,0,6.193228737,47.99464737,RGS1;CCL5;CCL4;CCL3;F11R;CCL17,0
78,regulation of NF-kappaB import into nucleus (GO:0042345),0.000453357,0.029659984,0,0,19.84126984,152.7545941,NFKBIA;TNF;TLR2,0
79,regulation of keratinocyte apoptotic process (GO:1902172),0.000459413,0.029675778,0,0,59.52380952,457.4738188,ZFP36;ZFP36L1,0
80,negative regulation of erythrocyte differentiation (GO:0045647),0.000459413,0.029304831,0,0,59.52380952,457.4738188,ZFP36;ZFP36L1,0
81,positive regulation of endocytosis (GO:0045807),0.000485009,0.030555554,0,0,10.98901099,83.86091791,AXL;APOE;TNF;B2M,0
82,NADH dehydrogenase complex assembly (GO:0010257),0.000485009,0.030182925,0,0,10.98901099,83.86091791,MT-ND4;MT-ND2;MT-ND3;MT-ND1,0
83,mitochondrial respiratory chain complex I biogenesis (GO:0097031),0.000485009,0.029819276,0,0,10.98901099,83.86091791,MT-ND4;MT-ND2;MT-ND3;MT-ND1,0
84,mitochondrial respiratory chain complex I assembly (GO:0032981),0.000485009,0.029464284,0,0,10.98901099,83.86091791,MT-ND4;MT-ND2;MT-ND3;MT-ND1,0
85,negative regulation of smooth muscle cell proliferation (GO:0048662),0.000505696,0.030359597,0,0,19.13265306,145.2087094,TNFAIP3;TRIB1;AIF1,0
86,negative regulation of homeostatic process (GO:0032845),0.000561754,0.033332888,0,0,18.4729064,138.2594949,ZFP36;TNFAIP3;ZFP36L1,0
87,aerobic respiration (GO:0009060),0.000561754,0.032949751,0,0,18.4729064,138.2594949,MT-ND4;MT-CO1;MT-CO3,0
88,cytoplasmic sequestering of NF-kappaB (GO:0007253),0.000640826,0.037160606,0,0,51.02040816,375.1404661,NFKBIA;TMSB4X,0
89,negative regulation of synapse organization (GO:1905809),0.000640826,0.036743071,0,0,51.02040816,375.1404661,APOE;TLR2,0
90,regulation of chemokine biosynthetic process (GO:0045073),0.000640826,0.036334814,0,0,51.02040816,375.1404661,EGR1;TNF,0
91,regulation of apoptotic process (GO:0042981),0.000646113,0.036232008,0,0,2.844887955,20.89438405,CD74;JUN;GADD45B;GDF15;TNF;MALT1;GADD45G;NFKBIA;AXL;UBC;PIM1;SGK1;CTSB,0
92,regulation of GTPase activity (GO:0043087),0.00068684,0.038097199,0,0,5.66893424,41.28917138,RGS1;CCL5;CCL4;CCL3;F11R;CCL17,0
93,regulation of neuron death (GO:1901214),0.000753415,0.041340595,0,0,9.784735812,70.3610052,EGR1;GPNMB;CCL5;APOE,0
94,positive regulation of GTPase activity (GO:0043547),0.000766186,0.041594118,0,0,5.551443375,39.82653011,RGS1;CCL5;CCL4;CCL3;F11R;CCL17,0
95,positive regulation of NF-kappaB transcription factor activity (GO:0051092),0.000798367,0.042884902,0,0,6.9213732,49.36975669,NFKBIA;UBC;TNF;MALT1;TLR2,0
96,positive regulation of myeloid leukocyte differentiation (GO:0002763),0.000825245,0.043866944,0,0,16.23376623,115.2569791,CD74;TNF;ZFP36L1,0
97,positive regulation of monocyte differentiation (GO:0045657),0.000851309,0.044785886,0,0,44.64285714,315.5685333,CD74;ZFP36L1,0
98,"nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)",0.000851309,0.044328887,0,0,44.64285714,315.5685333,ZFP36;ZFP36L1,0
99,positive regulation of calcium ion transport (GO:0051928),0.000901434,0.04646485,0,0,15.75630252,110.4756805,CCL5;CCL4;CCL3,0
100,response to interleukin-1 (GO:0070555),0.000920822,0.046989542,0,0,9.276437848,64.84456309,CCL5;CCL4;CCL3;CCL17,0
101,positive regulation of leukocyte migration (GO:0002687),0.000981944,0.049612459,0,0,15.30612245,106.0098468,CXCL10;CXCL2;TNF,0
102,cellular response to organic cyclic compound (GO:0071407),0.001012274,0.050643465,0,0,6.56512605,45.27019532,EGR1;CCL5;CCL3;TNF;ZFP36L1,0
103,negative regulation of cell proliferation (GO:0008285),0.001024797,0.050772209,0,0,3.924646782,27.01436824,GPNMB;BHLHE40;OSM;TNFAIP3;TRIB1;CBFA2T3;AIF1;MTSS1,0
104,negative regulation of lipid localization (GO:1905953),0.001090539,0.053509795,0,0,39.68253968,270.6779184,NFKBIA;TNF,0
105,negative regulation of signal transduction (GO:0009968),0.001101042,0.053510641,0,0,4.401408451,29.98018609,RGS2;MMP14;AXL;CCL5;UBC;TNFAIP3;TRIB1,0
106,cellular response to hormone stimulus (GO:0032870),0.001112847,0.053574157,0,0,8.818342152,59.97207461,JUN;CTSS;CTSB;ZFP36L1,0
107,positive regulation of protein catabolic process (GO:0045732),0.001164919,0.055556842,0,0,8.710801394,58.84236621,TNFAIP3;FURIN;APOE;TNF,0
108,cellular response to thyroid hormone stimulus (GO:0097067),0.001358191,0.064174533,0,0,35.71428571,235.7714817,CTSS;CTSB,0
109,3'-UTR-mediated mRNA destabilization (GO:0061158),0.001358191,0.063585776,0,0,35.71428571,235.7714817,ZFP36;ZFP36L1,0
110,positive regulation of smooth muscle cell migration (GO:0014911),0.001358191,0.063007723,0,0,35.71428571,235.7714817,CCL5;AIF1,0
111,macrophage chemotaxis (GO:0048246),0.001358191,0.062440086,0,0,35.71428571,235.7714817,CCL5;CCL3,0
112,"energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)",0.001358191,0.061882585,0,0,35.71428571,235.7714817,MT-ND4;MT-CO1,0
113,macrophage migration (GO:1905517),0.001358191,0.061334952,0,0,35.71428571,235.7714817,CCL5;CCL3,0
114,regulation of T cell chemotaxis (GO:0010819),0.001358191,0.060796926,0,0,35.71428571,235.7714817,CXCL10;CCL5,0
115,"positive regulation of transcription, DNA-templated (GO:0045893)",0.001463508,0.064941596,0,0,2.389448197,15.5957341,EGR1;CD74;JUN;OSM;TNF;NFKBIA;CXCL10;NFIC;TNIP3;UBC;CCNL1;IER5;ATF3;NFE2L2;TLR2,0
116,regulation of MAP kinase activity (GO:0043405),0.001513737,0.066591383,0,0,8.116883117,52.70433261,RGS2;APOE;TRIB1;TNF,0
117,response to thyroid hormone (GO:0097066),0.001653947,0.072137522,0,0,32.46753247,207.9412629,CTSS;CTSB,0
118,regulation of interleukin-6 production (GO:0032675),0.001792327,0.07751053,0,0,12.45847176,78.7903746,TNFAIP3;TNF;TLR2,0
119,proteolysis involved in cellular protein catabolic process (GO:0051603),0.001929448,0.082739268,0,0,7.598784195,47.49636284,UBC;TNFAIP3;CTSS;CTSB,0
120,cellular response to fluid shear stress (GO:0071498),0.001977488,0.084092669,0,0,29.76190476,185.2954769,MTSS1;NFE2L2,0
121,regulation of mononuclear cell migration (GO:0071675),0.001977488,0.083397688,0,0,29.76190476,185.2954769,CCL5;TNF,0
122,PERK-mediated unfolded protein response (GO:0036499),0.001977488,0.082714101,0,0,29.76190476,185.2954769,ATF3;NFE2L2,0
123,positive regulation of T cell cytokine production (GO:0002726),0.001977488,0.082041628,0,0,29.76190476,185.2954769,B2M;MALT1,0
124,cellular response to fibroblast growth factor stimulus (GO:0044344),0.002005672,0.082539882,0,0,7.518796992,46.70508267,ZFP36;CCL5;UBC;ZFP36L1,0
125,positive regulation of transport (GO:0051050),0.002044212,0.083452915,0,0,11.9047619,73.72312901,APOE;SGK1;TNF,0
126,regulation of cell migration (GO:0030334),0.002061378,0.083485814,0,0,3.943217666,24.38635854,BST2;MMP14;GPNMB;CCL5;CCL3;SGK1;CXCL16,0
127,positive regulation of protein metabolic process (GO:0051247),0.002164325,0.08696495,0,0,7.36377025,45.18149417,NFKBIA;TNFAIP3;APOE;TNF,0
128,mitochondrial respiratory chain complex assembly (GO:0033108),0.002246809,0.089573965,0,0,7.288629738,44.44784397,MT-ND4;MT-ND2;MT-ND3;MT-ND1,0
129,positive regulation of protein phosphorylation (GO:0001934),0.00226851,0.089738033,0,0,3.459010723,21.06064364,CD74;GPNMB;GDF15;AXL;OSM;IQGAP1;CCNL1;TNF,0
130,positive regulation of ion transport (GO:0043270),0.002317069,0.09095388,0,0,11.39817629,69.15788913,CCL5;CCL4;CCL3,0
131,regulation of T cell cytokine production (GO:0002724),0.0023285,0.090704836,0,0,27.47252747,166.553054,B2M;MALT1,0
132,positive regulation of cholesterol efflux (GO:0010875),0.0023285,0.090017678,0,0,27.47252747,166.553054,NFKBIA;APOE,0
133,pattern recognition receptor signaling pathway (GO:0002221),0.002611477,0.100198255,0,0,10.93294461,65.02739719,CTSS;CTSB;TLR2,0
134,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)",0.00270667,0.103075643,0,0,25.51020408,150.817251,ZFP36;ZFP36L1,0
135,positive regulation of response to cytokine stimulus (GO:0060760),0.00270667,0.10231212,0,0,25.51020408,150.817251,CD74;AXL,0
136,regulation of monocyte differentiation (GO:0045655),0.00270667,0.101559825,0,0,25.51020408,150.817251,CD74;ZFP36L1,0
137,negative regulation of smooth muscle cell migration (GO:0014912),0.00270667,0.100818512,0,0,25.51020408,150.817251,TRIB1;AIF1,0
138,negative regulation of viral genome replication (GO:0045071),0.002927988,0.108271906,0,0,10.50420168,61.27562777,BST2;CCL5;TNF,0
139,positive regulation of acute inflammatory response (GO:0002675),0.003111689,0.114237038,0,0,23.80952381,137.4426109,OSM;TNF,0
140,regulation of B cell differentiation (GO:0045577),0.003111689,0.113421059,0,0,23.80952381,137.4426109,MMP14;ZFP36L1,0
141,positive regulation of NF-kappaB import into nucleus (GO:0042346),0.003111689,0.112616654,0,0,23.80952381,137.4426109,TNF;TLR2,0
142,positive regulation of cytokine production involved in immune response (GO:0002720),0.003111689,0.111823579,0,0,23.80952381,137.4426109,B2M;MALT1,0
143,negative regulation of interleukin-2 production (GO:0032703),0.003111689,0.111041596,0,0,23.80952381,137.4426109,ZFP36;TNFAIP3,0
144,cellular response to corticosteroid stimulus (GO:0071384),0.003111689,0.110270474,0,0,23.80952381,137.4426109,ZFP36;ZFP36L1,0
145,viral life cycle (GO:0019058),0.003194099,0.112410263,0,0,6.613756614,38.00562286,AXL;UBC;FURIN;APOE,0
146,positive regulation of proteolysis (GO:0045862),0.003267128,0.114192841,0,0,10.10781671,57.85556531,FURIN;APOE;TNF,0
147,regulation of calcium ion transport (GO:0051924),0.003267128,0.113416019,0,0,10.10781671,57.85556531,CCL5;CCL4;CCL3,0
148,regulation of cytokine production (GO:0001817),0.003301676,0.113840899,0,0,6.553079948,37.4398757,CD83;GPNMB;UBC;TNF,0
149,cellular response to lipid (GO:0071396),0.003368639,0.115370248,0,0,4.988028731,28.39807637,CXCL10;ZFP36;AXL;TNIP3;TNFAIP3,0
150,negative regulation of cellular response to transforming growth factor beta stimulus (GO:1903845),0.003445342,0.117210519,0,0,9.920634921,56.25726432,UBC;PMEPA1;SKIL,0
151,positive regulation of cell motility (GO:2000147),0.003449698,0.116581532,0,0,4.96031746,28.12236336,MMP14;GPNMB;CCL5;CCL3;CXCL16,0
152,negative regulation of NF-kappaB import into nucleus (GO:0042347),0.00354325,0.118955279,0,0,22.32142857,125.953371,NFKBIA;TMSB4X,0
153,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)",0.00354325,0.118177794,0,0,22.32142857,125.953371,ZFP36;ZFP36L1,0
154,cytoplasmic sequestering of transcription factor (GO:0042994),0.00354325,0.117410405,0,0,22.32142857,125.953371,NFKBIA;TMSB4X,0
155,positive regulation of lymphocyte differentiation (GO:0045621),0.00354325,0.116652919,0,0,22.32142857,125.953371,MMP14;AXL,0
156,negative regulation of lipid storage (GO:0010888),0.00354325,0.115905144,0,0,22.32142857,125.953371,NFKBIA;TNF,0
157,negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512),0.003819356,0.124141238,0,0,9.566326531,53.26218192,UBC;PMEPA1;SKIL,0
158,positive regulation of kinase activity (GO:0033674),0.00387675,0.125209199,0,0,6.26566416,34.79171801,CD74;AXL;IQGAP1;TNF,0
159,positive regulation of cholesterol transport (GO:0032376),0.004001047,0.128410972,0,0,21.00840336,115.9915781,NFKBIA;APOE,0
160,response to interferon-alpha (GO:0035455),0.004001047,0.127608403,0,0,21.00840336,115.9915781,BST2;AXL,0
161,long-term memory (GO:0007616),0.004001047,0.126815805,0,0,21.00840336,115.9915781,APOE;SGK1,0
162,virion assembly (GO:0019068),0.004001047,0.126032991,0,0,21.00840336,115.9915781,UBC;APOE,0
163,positive regulation of cation transmembrane transport (GO:1904064),0.004001047,0.125259783,0,0,21.00840336,115.9915781,TMSB4X;CTSS,0
164,cellular response to glucocorticoid stimulus (GO:0071385),0.004001047,0.124496003,0,0,21.00840336,115.9915781,ZFP36;ZFP36L1,0
165,negative regulation of phosphoprotein phosphatase activity (GO:0032515),0.004001047,0.123741482,0,0,21.00840336,115.9915781,PPP1R15A;TNF,0
166,regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803),0.004015273,0.123433369,0,0,9.398496241,51.85761166,UBC;TNFAIP3;TNF,0
167,regulation of programmed cell death (GO:0043067),0.004083367,0.124774972,0,0,3.983005842,21.90985179,GDF15;UBC;SGK1;TNF;MALT1;CTSB,0
168,regulation of cholesterol efflux (GO:0010874),0.00448478,0.136225198,0,0,19.84126984,107.2830515,NFKBIA;APOE,0
169,regulation of keratinocyte proliferation (GO:0010837),0.00448478,0.135419132,0,0,19.84126984,107.2830515,ZFP36;ZFP36L1,0
170,positive regulation of p38MAPK cascade (GO:1900745),0.00448478,0.134622549,0,0,19.84126984,107.2830515,GADD45B;GADD45G,0
171,regulation of chemokine production (GO:0032642),0.00448478,0.133835282,0,0,19.84126984,107.2830515,TNF;TLR2,0
172,regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664),0.00448478,0.13305717,0,0,19.84126984,107.2830515,LY86;TRIB1,0
173,regulation of smooth muscle cell migration (GO:0014910),0.00448478,0.132288054,0,0,19.84126984,107.2830515,CCL5;TRIB1,0
174,mRNA destabilization (GO:0061157),0.00448478,0.131527778,0,0,19.84126984,107.2830515,ZFP36;ZFP36L1,0
175,negative regulation of transcription from RNA polymerase II promoter (GO:0000122),0.00454892,0.132646506,0,0,2.839475013,15.31290667,ZFP36;JUN;NFIC;UBC;BHLHE40;FOSB;TNF;SKIL;ATF3,0
176,MAPK cascade (GO:0000165),0.004870559,0.141218525,0,0,3.840245776,20.44756778,ZFP36;CCL5;UBC;CCL3;TNF;ZFP36L1,0
