Term|Overlap|P.value|Adjusted.P.value|Old.P.value|Old.Adjusted.P.value|Odds.Ratio|Combined.Score|Genes|cluster
11|regulation of fibroblast proliferation (GO:0048145)|5/47|4.44978040327821e-06|0.00206429358162988|0|0|20.4582651391162|252.100159790951|CD74;FTH1;FN1;S100A6;IGF1|0
12|toll-like receptor signaling pathway (GO:0002224)|6/87|6.13748542455083e-06|0.00260996567679024|0|0|13.262599469496|159.165722011473|CTSL;S100A1;CTSK;CTSS;CTSB;LGMN|0
13|triglyceride metabolic process (GO:0006641)|5/53|8.12141150850184e-06|0.00318796637906807|0|0|18.1422351233672|212.645257398427|PLA2G16;FABP5;CAV1;LPL;APOE|0
14|cellular protein metabolic process (GO:0044267)|12/485|8.27275242622607e-06|0.0030154182593594|0|0|4.75812846946868|55.6822043634461|MRPL52;LGALS1;GSN;FN1;SPP1;CTSH;MAN2B1;APOE;IGF1;MFGE8;B2M;LGMN|0
15|proteolysis involved in cellular protein catabolic process (GO:0051603)|6/94|9.60969949536371e-06|0.00326921976832273|0|0|12.2749590834697|141.809381409137|CTSL;CTSK;CTSH;CTSS;CTSB;LGMN|0
16|regulation of viral entry into host cell (GO:0046596)|4/27|1.10424327764912e-05|0.00352184590365216|0|0|28.4900284900285|325.17849519093|CD74;IFITM2;LGALS1;GSN|0
17|positive regulation of fibroblast proliferation (GO:0048146)|4/29|1.48251584501154e-05|0.00445016373946701|0|0|26.525198938992|294.938592177794|CD74;FN1;S100A6;IGF1|0
18|acylglycerol metabolic process (GO:0006639)|4/37|3.99286442078416e-05|0.0113197706329231|0|0|20.7900207900208|210.569991511215|PLA2G16;CAV1;LPL;APOE|0
19|hydrogen peroxide catabolic process (GO:0042744)|3/14|4.76886479410875e-05|0.0128081668654405|0|0|41.2087912087912|410.061147405916|PRDX2;PRDX5;PRDX1|0
20|cellular response to hormone stimulus (GO:0032870)|5/81|6.46220796625901e-05|0.0164883236259099|0|0|11.8708452041785|114.517502553777|CTSL;CAV1;CTSH;CTSS;CTSB|0
21|regulated exocytosis (GO:0045055)|6/149|0.000128678128191065|0.0312687851504288|0|0|7.74393391843056|69.371680964866|CD63;SYNGR1;ECM1;PSAP;FN1;IGF1|0
22|proteolysis (GO:0006508)|8/292|0.000143784696425402|0.0333515139026738|0|0|5.26870389884088|46.6132431031266|CTSL;CTSK;CTSH;MMP19;CTSD;CTSS;LGMN;CTSB|0
23|antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)|5/98|0.000159734679604393|0.035440263913966|0|0|9.8116169544741|85.7731198157915|CD74;CTSL;CTSD;CTSS;LGMN|0
24|antigen processing and presentation of exogenous peptide antigen (GO:0002478)|5/98|0.000159734679604393|0.0339635862508841|0|0|9.8116169544741|85.7731198157915|CD74;CTSL;CTSD;CTSS;LGMN|0
25|antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)|5/99|0.000167542388662213|0.0341987523737309|0|0|9.71250971250971|84.4432223395011|CD74;CTSL;CTSD;CTSS;LGMN|0
26|triglyceride catabolic process (GO:0019433)|3/22|0.000195746856835632|0.0384190850166242|0|0|26.2237762237762|223.916650706016|FABP5;LPL;APOE|0
27|extracellular matrix organization (GO:0030198)|7/230|0.000200347635019053|0.037865703018601|0|0|5.85284280936455|49.8396284919679|CTSL;CTSK;FN1;TIMP2;SPP1;MMP19;CTSS|0
28|positive regulation of intracellular signal transduction (GO:1902533)|10/480|0.000200989924978707|0.0366304138273694|0|0|4.00641025641026|34.1035888447336|BCAP31;CD74;ECM1;LGALS1;CAV1;HMOX1;S100A4;TREM2;IGF1;LAMTOR4|0
29|positive regulation of angiogenesis (GO:0045766)|5/104|0.000211048380489744|0.0371372374358333|0|0|9.24556213017752|78.2491046537618|ECM1;S100A1;ANXA3;HMOX1;CTSH|0
30|negative regulation of apoptotic process (GO:0043066)|10/486|0.000222052876100836|0.0377711942247522|0|0|3.95694840139285|33.2882044310624|PRDX2;CD74;PRDX5;CAV1;PDPN;NME2;CTSH;APOE;IGF1;LGMN|0
31|regulation of protein activation cascade (GO:2000257)|5/109|0.000262673377004696|0.0432394271888698|0|0|8.82145377558222|72.7293508303514|C1QB;C1QA;IGKC;CFB;C1QC|0
32|regulation of complement activation (GO:0030449)|5/110|0.000274055993040917|0.0437033666402437|0|0|8.74125874125874|71.6973611738614|C1QB;C1QA;IGKC;CFB;C1QC|0
33|regulation of humoral immune response (GO:0002920)|5/114|0.000323373719059658|0.0500053360109525|0|0|8.43454790823212|67.7859470194554|C1QB;C1QA;IGKC;CFB;C1QC|0
34|regulation of immune effector process (GO:0002697)|5/115|0.000336690239773005|0.0505332439282837|0|0|8.36120401337793|66.8590904692355|C1QB;C1QA;IGKC;CFB;C1QC|0
35|cellular response to oxidative stress (GO:0034599)|5/116|0.000350417951602431|0.0510909373436344|0|0|8.28912466843502|65.9514586246041|PRDX2;PRDX5;PRDX1;HMOX1;CYBA|0
36|positive regulation of endocytosis (GO:0045807)|4/65|0.00036611187551038|0.0518963583535964|0|0|11.8343195266272|93.6399005973647|CD63;CYBA;APOE;B2M|0
37|positive regulation of cholesterol storage (GO:0010886)|2/6|0.00039627536149657|0.0546538694518108|0|0|64.1025641025641|502.141104554109|MSR1;LPL|0
38|regulation of acute inflammatory response (GO:0002673)|5/122|0.000441888626422278|0.0593409910692865|0|0|7.88146279949559|60.8799864758682|C1QB;C1QA;IGKC;CFB;C1QC|0
39|platelet degranulation (GO:0002576)|5/125|0.000493862090558077|0.0646199550799453|0|0|7.69230769230769|58.5634942204771|CD63;ECM1;PSAP;FN1;IGF1|0
40|regulation of keratinocyte differentiation (GO:0045616)|3/30|0.000500704383845033|0.0638773617690301|0|0|19.2307692307692|146.144128523735|CTSL;CTSK;NME2|0
41|negative regulation of endothelial cell proliferation (GO:0001937)|3/31|0.000552264039865007|0.0687366681812472|0|0|18.6104218362283|139.605787089886|CAV1;ATPIF1;APOE|0
42|acylglycerol catabolic process (GO:0046464)|3/31|0.000552264039865007|0.0671000808435984|0|0|18.6104218362283|139.605787089886|FABP5;LPL;APOE|0
43|positive regulation of lipid transport (GO:0032370)|2/7|0.000552903300532864|0.0656154777353304|0|0|54.9450549450549|412.105903029938|SPP1;APOE|0
44|regulation of sterol transport (GO:0032371)|2/7|0.000552903300532864|0.0641242168777092|0|0|54.9450549450549|412.105903029938|TSPO;APOE|0
45|heme catabolic process (GO:0042167)|2/7|0.000552903300532864|0.0626992342804268|0|0|54.9450549450549|412.105903029938|HMOX1;BLVRB|0
46|positive regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903071)|2/7|0.000552903300532864|0.0613362074482436|0|0|54.9450549450549|412.105903029938|BCAP31;CAV1|0
47|porphyrin-containing compound catabolic process (GO:0006787)|2/7|0.000552903300532864|0.0600311817578554|0|0|54.9450549450549|412.105903029938|HMOX1;BLVRB|0
48|regulation of protein processing (GO:0070613)|5/129|0.000570161996488883|0.0606153472517243|0|0|7.45378652355397|55.6767295255488|C1QB;C1QA;IGKC;CFB;C1QC|0
49|positive regulation of apoptotic signaling pathway (GO:2001235)|4/77|0.000697715893557856|0.0726621266290967|0|0|9.99000999000999|72.6043812921833|BCAP31;GSN;CAV1;CTSH|0
50|positive regulation of viral entry into host cell (GO:0046598)|2/8|0.000734703967300096|0.0749838869026478|0|0|48.0769230769231|346.925139685643|CD74;LGALS1|0
51|positive regulation of chemokine production (GO:0032722)|3/35|0.000792094641480553|0.0792560579504953|0|0|16.4835164835165|117.705983678079|CD74;LPL;HMOX1|0
52|regulation of endothelial cell proliferation (GO:0001936)|4/80|0.000805772307510194|0.0790741554850869|0|0|9.61538461538462|68.4972053101252|ECM1;CAV1;ATPIF1;APOE|0
53|positive regulation of binding (GO:0051099)|4/82|0.00088405542262616|0.0851195249370055|0|0|9.38086303939963|65.9567617449666|CAV1;APOE;IGF1;B2M|0
54|regulation of nitric-oxide synthase activity (GO:0050999)|3/37|0.000933288145677208|0.0881957297664961|0|0|15.5925155925156|108.785809256554|S100A1;CAV1;APOE|0
55|very-low-density lipoprotein particle remodeling (GO:0034372)|2/9|0.00094141640800522|0.0873463260009207|0|0|42.7350427350427|297.783119648848|LPL;APOE|0
56|regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069)|2/9|0.00094141640800522|0.0857865701794757|0|0|42.7350427350427|297.783119648848|BCAP31;CAV1|0
57|chylomicron remodeling (GO:0034371)|2/9|0.00094141640800522|0.0842815426324673|0|0|42.7350427350427|297.783119648848|LPL;APOE|0
58|retina homeostasis (GO:0001895)|3/39|0.00108948723417289|0.0958560923445559|0|0|14.792899408284|100.917871609335|IGKC;PRDX1;B2M|0
59|regulation of mast cell activation (GO:0033003)|2/10|0.00117278165192452|0.101435674063913|0|0|38.4615384615385|259.552956601147|CD84;CD300LF|0
60|negative regulation of proteolysis (GO:0045861)|3/42|0.00135319742855847|0.115089441298898|0|0|13.7362637362637|90.7319371061359|CSTB;ECM1;TIMP2|0
61|negative regulation of leukocyte activation (GO:0002695)|2/11|0.00142854269862059|0.11950579329608|0|0|34.965034965035|229.059456161232|CD84;CD300LF|0
62|cholesterol transport (GO:0030301)|3/45|0.00165386760289973|0.136123973832215|0|0|12.8205128205128|82.1107529769099|MSR1;CAV1;APOE|0
63|positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)|5/164|0.00166921623032972|0.135206514656707|0|0|5.86303939962477|37.4964885428935|CD74;ECM1;LGALS1;HMOX1;S100A4|0
64|regulation of cholesterol storage (GO:0010885)|2/12|0.00170844450643344|0.136221754942654|0|0|32.0512820512821|204.23628101944|MSR1;LPL|0
65|prostanoid biosynthetic process (GO:0046457)|2/13|0.00201223397992977|0.157975846147409|0|0|29.5857988165681|183.68372015664|CD74;PTGS1|0
66|positive regulation of ERAD pathway (GO:1904294)|2/13|0.00201223397992977|0.155582272720933|0|0|29.5857988165681|183.68372015664|BCAP31;CAV1|0
67|triglyceride-rich lipoprotein particle remodeling (GO:0034370)|2/13|0.00201223397992977|0.153260149247487|0|0|29.5857988165681|183.68372015664|LPL;APOE|0
68|positive regulation of vasculature development (GO:1904018)|4/105|0.00220576989195875|0.165530055274493|0|0|7.32600732600733|44.810832774166|ECM1;ANXA3;HMOX1;CTSH|0
69|regulation of angiogenesis (GO:0045765)|5/178|0.0023863507160894|0.176486198611655|0|0|5.4019014693172|32.6166269283043|ECM1;GPNMB;ANXA3;HMOX1;CTSH|0
70|positive regulation of proteolysis (GO:0045862)|3/53|0.0026494970110091|0.193148332102563|0|0|10.8853410740203|64.5869245010818|ATPIF1;CTSH;APOE|0
71|negative regulation of viral entry into host cell (GO:0046597)|2/15|0.00269047319620573|0.193373024228702|0|0|25.6410256410256|151.744569012012|GSN;IFITM2|0
72|glycosphingolipid metabolic process (GO:0006687)|3/55|0.0029450101063205|0.208727591285465|0|0|10.4895104895105|61.129122694371|GM2A;HEXB;PSAP|0
73|positive regulation of nitric-oxide synthase activity (GO:0051000)|2/16|0.00306442636565179|0.21421599649207|0|0|24.0384615384615|139.132088545772|S100A1;APOE|0
74|heme biosynthetic process (GO:0006783)|2/16|0.00306442636565179|0.211321185728664|0|0|24.0384615384615|139.132088545772|ATPIF1;TSPO|0
75|positive regulation of macrophage derived foam cell differentiation (GO:0010744)|2/16|0.00306442636565179|0.208503569918948|0|0|24.0384615384615|139.132088545772|MSR1;LPL|0
76|positive regulation of cellular protein catabolic process (GO:1903364)|2/17|0.00346127402732154|0.232406333702919|0|0|22.6244343891403|128.192727187749|ATPIF1;APOE|0
77|sterol homeostasis (GO:0055092)|3/59|0.00359496481285653|0.238248122597492|0|0|9.77835723598436|55.0347562808773|CAV1;LPL;APOE|0
78|cholesterol homeostasis (GO:0042632)|3/59|0.00359496481285653|0.235193659487268|0|0|9.77835723598436|55.0347562808773|CAV1;LPL;APOE|0
79|porphyrin-containing compound biosynthetic process (GO:0006779)|2/18|0.00388077262796116|0.25067826228463|0|0|21.3675213675214|118.62651739857|ATPIF1;TSPO|0
80|prostaglandin biosynthetic process (GO:0001516)|2/18|0.00388077262796116|0.247544784006072|0|0|21.3675213675214|118.62651739857|CD74;PTGS1|0
81|response to reactive oxygen species (GO:0000302)|3/61|0.00395018809470131|0.248861849966182|0|0|9.4577553593947|52.3391432751368|PRDX5;HMOX1;APOE|0
82|positive regulation of protein binding (GO:0032092)|3/61|0.00395018809470131|0.245826949356839|0|0|9.4577553593947|52.3391432751368|CAV1;APOE;B2M|0
83|complement activation, classical pathway (GO:0006958)|4/124|0.00401595507556934|0.246908659646148|0|0|6.20347394540943|34.2275439393145|C1QB;C1QA;IGKC;C1QC|0
84|humoral immune response mediated by circulating immunoglobulin (GO:0002455)|4/126|0.00425108438606847|0.25825337645366|0|0|6.1050061050061|33.3368814342355|C1QB;C1QA;IGKC;C1QC|0
85|positive regulation of toll-like receptor signaling pathway (GO:0034123)|2/19|0.00432268048476494|0.259513394279476|0|0|20.2429149797571|110.199991630797|CAV1;CYBA|0
86|positive regulation of lipid storage (GO:0010884)|2/19|0.00432268048476494|0.256495796671575|0|0|20.2429149797571|110.199991630797|MSR1;LPL|0
87|negative regulation of peptidase activity (GO:0010466)|3/63|0.00432606606400111|0.253746150857444|0|0|9.15750915750916|49.8452076940044|CSTB;ECM1;TIMP2|0
88|diterpenoid metabolic process (GO:0016101)|3/63|0.00432606606400111|0.250862671870428|0|0|9.15750915750916|49.8452076940044|SDC3;LPL;APOE|0
89|regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)|5/205|0.00436493605005348|0.250272681611493|0|0|4.69043151969981|25.4885166060772|CD74;ECM1;LGALS1;HMOX1;S100A4|0
90|iron ion homeostasis (GO:0055072)|3/64|0.00452185932231551|0.256389423575289|0|0|9.01442307692308|48.6673559064887|FTH1;HMOX1;B2M|0
91|positive regulation of signal transduction (GO:0009967)|5/207|0.00454716403315272|0.254990967705256|0|0|4.64511334076551|25.0522646310008|CD63;CD74;CTSH;TREM2;IGF1|0
92|regulation of epidermal cell differentiation (GO:0045604)|2/20|0.00478675777140461|0.265508966385628|0|0|19.2307692307692|102.728884061309|CTSL;CTSK|0
93|regulation of cholesterol transport (GO:0032374)|2/20|0.00478675777140461|0.262654031263202|0|0|19.2307692307692|102.728884061309|TSPO;APOE|0
94|glycolipid metabolic process (GO:0006664)|3/66|0.00492936243758713|0.267601452329863|0|0|8.74125874125874|46.4383358592231|GM2A;HEXB;PSAP|0
95|negative regulation of epithelial cell proliferation (GO:0050680)|3/67|0.00514115232365325|0.2761610558695|0|0|8.61079219288174|45.3829911351333|CAV1;ATPIF1;APOE|0
96|ERK1 and ERK2 cascade (GO:0070371)|2/21|0.00527276651045041|0.280280494821129|0|0|18.3150183150183|96.065935890561|CTSH;IGF1|0
97|negative regulation of programmed cell death (GO:0043069)|7/409|0.00552328594705783|0.290570393689032|0|0|3.29132969719767|17.1109066243964|PRDX2;CD74;PRDX5;PDPN;NME2;CTSH;IGF1|0
98|phagocytosis (GO:0006909)|4/136|0.00556691507402527|0.289877220640316|0|0|5.65610859728507|29.360374576622|MSR1;GSN;IGKC;ANXA3|0
99|acylglycerol homeostasis (GO:0055090)|2/22|0.00578047055548635|0.29795698226916|0|0|17.4825174825175|90.0921361648208|LPL;APOE|0
100|regulation of membrane protein ectodomain proteolysis (GO:0051043)|2/22|0.00578047055548635|0.294977412446468|0|0|17.4825174825175|90.0921361648208|TIMP2;APOE|0
101|positive regulation of biosynthetic process (GO:0009891)|2/22|0.00578047055548635|0.292056844006404|0|0|17.4825174825175|90.0921361648208|CYBA;APOE|0
102|regulation of ERBB signaling pathway (GO:1901184)|2/22|0.00578047055548635|0.289193541614185|0|0|17.4825174825175|90.0921361648208|PTPN18;LGMN|0
103|sterol transport (GO:0015918)|2/22|0.00578047055548635|0.286385837326668|0|0|17.4825174825175|90.0921361648208|MSR1;CAV1|0
104|positive regulation of cell migration (GO:0030335)|5/222|0.00609059217415319|0.298848960237536|0|0|4.33125433125433|22.0937715040384|GPNMB;PDPN;FN1;CTSH;IGF1|0
105|positive regulation of ion transmembrane transporter activity (GO:0032414)|2/23|0.00630963558145633|0.306648289258778|0|0|16.7224080267559|84.710323689621|GLRX;CTSS|0
106|positive regulation of monooxygenase activity (GO:0032770)|2/23|0.00630963558145633|0.303755380869544|0|0|16.7224080267559|84.710323689621|S100A1;APOE|0
107|positive regulation of cell proliferation (GO:0008284)|7/425|0.00677020199592938|0.322881689581566|0|0|3.16742081447964|15.8219775968783|CD74;S100A6;FN1;NME2;HMOX1;CTSH;IGF1|0
108|retinoid metabolic process (GO:0001523)|3/76|0.007295012532188|0.344689342145883|0|0|7.59109311740891|37.3524623919089|SDC3;LPL;APOE|0
109|regulation of neuronal synaptic plasticity (GO:0048168)|2/25|0.00743142031551661|0.347913191468635|0|0|15.3846153846154|75.4159735225083|SYNGR1;APOE|0
110|transition metal ion homeostasis (GO:0055076)|2/25|0.00743142031551661|0.344750344273466|0|0|15.3846153846154|75.4159735225083|HMOX1;B2M|0
111|negative regulation of T cell proliferation (GO:0042130)|2/25|0.00743142031551661|0.341644485316047|0|0|15.3846153846154|75.4159735225083|GPNMB;ARG1|0
112|prostaglandin metabolic process (GO:0006693)|2/26|0.00802358036899565|0.365574380562364|0|0|14.792899408284|71.3812208087963|CD74;PTGS1|0
113|phosphatidylcholine acyl-chain remodeling (GO:0036151)|2/28|0.00926930003824975|0.418595027391048|0|0|13.7362637362637|64.3001017930589|PLA2G16;DBI|0
114|response to hexose (GO:0009746)|2/28|0.00926930003824975|0.414923141185864|0|0|13.7362637362637|64.3001017930589|LPL;IGF1|0
115|negative regulation of myeloid leukocyte differentiation (GO:0002762)|2/28|0.00926930003824975|0.411315113871204|0|0|13.7362637362637|64.3001017930589|MAFB;C1QC|0
116|negative regulation of neuron death (GO:1901215)|3/84|0.009596900561156|0.422180892789475|0|0|6.86813186813187|31.9115047448571|GPNMB;APOE;LGMN|0
117|regulation of vasculature development (GO:1901342)|2/29|0.00992241060002349|0.432769754631794|0|0|13.262599469496|61.1798326680561|GPNMB;HMOX1|0
118|positive regulation of calcium-mediated signaling (GO:0050850)|2/29|0.00992241060002349|0.429102214338304|0|0|13.262599469496|61.1798326680561|TREM2;IGF1|0
119|triglyceride homeostasis (GO:0070328)|2/29|0.00992241060002349|0.425496313377478|0|0|13.262599469496|61.1798326680561|LPL;APOE|0
120|antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)|2/29|0.00992241060002349|0.421950510765999|0|0|13.262599469496|61.1798326680561|BCAP31;B2M|0
121|positive regulation of sprouting angiogenesis (GO:1903672)|2/29|0.00992241060002349|0.418463316462148|0|0|13.262599469496|61.1798326680561|S100A1;HMOX1|0
122|regulation of immune response (GO:0050776)|5/252|0.0102216164268995|0.427548431364494|0|0|3.81562881562882|17.4879828434498|TYROBP;IGKC;TREM2;CD300LF;B2M|0
123|regulation of peptidyl-tyrosine phosphorylation (GO:0050730)|3/86|0.0102310534824736|0.424463950577746|0|0|6.70840787119857|30.7401233761631|CD74;TREM2;IGF1|0
124|regulation of macrophage derived foam cell differentiation (GO:0010743)|2/30|0.0105953918520934|0.436034553397036|0|0|12.8205128205128|58.2991808118153|MSR1;LPL|0
125|superoxide metabolic process (GO:0006801)|2/30|0.0105953918520934|0.43254627696986|0|0|12.8205128205128|58.2991808118153|PRDX2;CYBA|0
126|negative regulation of lymphocyte proliferation (GO:0050672)|2/30|0.0105953918520934|0.429113370009781|0|0|12.8205128205128|58.2991808118153|GPNMB;ARG1|0
127|regulation of developmental growth (GO:0048638)|2/31|0.0112880236020325|0.45356523182025|0|0|12.4069478908189|55.6329153044411|APOE;IGF1|0
128|regulation of blood coagulation (GO:0030193)|2/31|0.0112880236020325|0.450021753446654|0|0|12.4069478908189|55.6329153044411|CAV1;APOE|0
129|nucleobase-containing small molecule interconversion (GO:0015949)|2/32|0.0120000873782114|0.474701130938085|0|0|12.0192307692308|53.1591508137383|NME2;GLRX|0
130|protein destabilization (GO:0031648)|2/32|0.0120000873782114|0.471049583777022|0|0|12.0192307692308|53.1591508137383|GSN;CTSH|0
131|lipid transport (GO:0006869)|3/92|0.0122771203845777|0.47824538414122|0|0|6.27090301003344|27.5920853687183|CAV1;PSAP;APOE|0
132|endocytosis (GO:0006897)|5/264|0.0123107136723396|0.475920999014763|0|0|3.64219114219114|16.0157538077615|MSR1;IGKC;ANXA3;CAV1;APOE|0
133|regulation of potassium ion transmembrane transport (GO:1901379)|2/33|0.0127313664066011|0.488482426863799|0|0|11.6550116550117|50.8588174202252|CD63;CAV1|0
134|positive regulation of cytokine-mediated signaling pathway (GO:0001961)|2/34|0.0134816456100268|0.513409235432586|0|0|11.3122171945701|48.7152274101099|CD74;CD300LF|0
135|positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)|2/34|0.0134816456100268|0.509606204059011|0|0|11.3122171945701|48.7152274101099|BCAP31;CAV1|0
136|keratan sulfate metabolic process (GO:0042339)|2/35|0.0142507115808119|0.534716038212378|0|0|10.989010989011|46.7137190991059|B4GALT1;HEXB|0
137|negative regulation of T cell activation (GO:0050868)|2/35|0.0142507115808119|0.530813001437105|0|0|10.989010989011|46.7137190991059|GPNMB;ARG1|0
138|macromolecule catabolic process (GO:0009057)|2/35|0.0142507115808119|0.526966530412198|0|0|10.989010989011|46.7137190991059|CTSD;LGMN|0
139|positive regulation of cell motility (GO:2000147)|4/180|0.0145327728821256|0.533530503722927|0|0|4.27350427350427|18.0826879538262|GPNMB;PDPN;CTSH;IGF1|0
140|positive regulation of macromolecule metabolic process (GO:0010604)|5/277|0.0148824949981329|0.542466942681945|0|0|3.47125798389336|14.6055595286979|CD63;GSN;FN1;CTSH;IGF1|0
141|carbohydrate catabolic process (GO:0016052)|2/36|0.0150383525901269|0.544260377783104|0|0|10.6837606837607|44.8413621975511|PGAM1;MAN2B1|0
142|protein processing (GO:0016485)|3/102|0.0161738251345937|0.581232603252334|0|0|5.65610859728507|23.3278341395908|CTSH;CTSS;LGMN|0
143|positive regulation of smooth muscle cell proliferation (GO:0048661)|2/38|0.0166685210500975|0.59482141901152|0|0|10.1214574898785|41.4396083543069|HMOX1;IGF1|0
144|plasma membrane invagination (GO:0099024)|3/104|0.0170270706512324|0.603396816203049|0|0|5.54733727810651|22.5940318612475|MSR1;GSN;IGKC|0
145|receptor-mediated endocytosis (GO:0006898)|4/189|0.017081928786178|0.601166086868044|0|0|4.07000407000407|16.563834637388|MSR1;IGKC;CAV1;APOE|0
146|phagocytosis, engulfment (GO:0006911)|3/105|0.0174629922343205|0.610367461450255|0|0|5.49450549450549|22.2399525643838|MSR1;GSN;IGKC|0
147|regulation of cellular amide metabolic process (GO:0034248)|2/39|0.0175106332735594|0.607869126496419|0|0|9.86193293885602|39.8909957292341|RBM3;PGAM1|0
148|protein homooligomerization (GO:0051260)|4/191|0.0176839682127021|0.609738444523101|0|0|4.02738622633911|16.2508932764284|B4GALT1;CAV1;ATPIF1;HMOX1|0
149|positive regulation of phagocytosis (GO:0050766)|2/40|0.0183704900515062|0.629158461294201|0|0|9.61538461538462|38.4327856094445|CYBA;CD300LF|0
150|positive regulation of epithelial cell proliferation (GO:0050679)|3/108|0.0188080322670817|0.639849257726121|0|0|5.34188034188034|21.2258079708427|ECM1;NME2;IGF1|0
151|positive regulation of cell differentiation (GO:0045597)|4/195|0.0189274517542338|0.639647591403014|0|0|3.94477317554241|15.6494750965178|MSR1;PDPN;LPL;IGF1|0
152|response to peptide hormone (GO:0043434)|2/41|0.0192478878212215|0.646197181261141|0|0|9.38086303939963|37.0577293418511|CAV1;IGF1|0
153|negative regulation of hydrolase activity (GO:0051346)|3/109|0.0192688225178687|0.642671903978326|0|0|5.29287226534933|20.9029652585072|CSTB;ECM1;ATPIF1|0
154|cellular response to peptide (GO:1901653)|2/42|0.0201426246241397|0.667453334136266|0|0|9.15750915750916|35.7593139304792|CAV1;IGF1|0
155|positive regulation of receptor-mediated endocytosis (GO:0048260)|2/42|0.0201426246241397|0.663147183593452|0|0|9.15750915750916|35.7593139304792|CD63;B2M|0
156|regulation of MAPK cascade (GO:0043408)|4/204|0.0219200614440562|0.71703893300653|0|0|3.77073906485671|14.4055543506844|CD74;CAV1;FN1;IGF1|0
157|regulation of ATP metabolic process (GO:1903578)|2/44|0.021983315423336|0.714527761817093|0|0|8.74125874125874|33.3695061468116|PGAM1;ATPIF1|0
158|negative regulation of ERBB signaling pathway (GO:1901185)|2/44|0.021983315423336|0.710005434210656|0|0|8.74125874125874|33.3695061468116|PTPN18;LGMN|0
159|membrane depolarization (GO:0051899)|2/44|0.021983315423336|0.705539991228199|0|0|8.74125874125874|33.3695061468116|CAV1;ATPIF1|0
160|positive regulation of transport (GO:0051050)|2/45|0.0229288734091663|0.731287756293596|0|0|8.54700854700855|32.2680197868451|CD63;APOE|0
161|amide biosynthetic process (GO:0043604)|2/45|0.0229288734091663|0.726745596316617|0|0|8.54700854700855|32.2680197868451|ARG1;ATPIF1|0
162|positive regulation of viral life cycle (GO:1903902)|2/45|0.0229288734091663|0.722259512388737|0|0|8.54700854700855|32.2680197868451|CD74;LGALS1|0
